SentimentValue,SerialNumber,Tweet,,,,,,
4,47,@hawaii808shellz hAhAHA!! omG! we wer bOth laughiN off d hOOk!  cuz das hOW we roLLL...ryt sheLdawg?,,,,,,
0,48,I had such a nice day. Too bad the rain comes in tomorrow at 5am ,,,,,,
4,49,@SickWithThePen awww pookie feel better. I'll pray for you...and BAG the nurse up ,,,,,,
4,50,YAY! found a new cuddle buddy ,,,,,,
4,51,I think I met my first &quot,snob&quot, on twitter tonight. Too bad. Life goes on! ,,,,
4,52,Across the Universe. Sleep. Rehearsal tomorrow. ,,,,,,
4,53,"@annabellee dry sweet potato, huh? ",,,,,,
4,54,"@JonathanRKnight Hi Jon! Great to hear from you! See you on the cruise, I cannot wait! Hope all is well on the Knight bus!  You are loved!",,,,,,
4,55,having a long conversation with mom on phone ,,,,,,
4,56,@suitelifeofkell yayyy! lol. i just requested herrr. what did she say? ,,,,,,
4,57,Practicing lines/mannerisms/voices for upcoming feature shoot.  Probably driving Brock crazy.  ,,,,,,
0,58,@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks ,,,,,,
4,59,Going to go and read new moon for the 3rd time  I cant get enough of twilight series ,,,,,,
4,60,today is our two month anniversary!!! i love you sooooooo much Diana. omg you dont even know  TAR HEELS WON THE NCAA WOOT!!!!!,,,,,,
4,61,I am bored ,,,,,,
4,62,@stevecla it is a wallpaper with Red Square I was asking for ,,,,,,
4,63,@r_keith_hill Thanks for your response. Ihad already find this answer ,,,,,,
4,64,@Pope_Mello Well yeah! I only noticed cuz i'm BB too. ,,,,,,
4,65,Just tryna get inspired thats all ,,,,,,
4,66,@KourtneyKardash Can't get up early enough!!!  Night workouts are much better. ,,,,,,
4,67,"@ladygaga Can't wait to see ur hot ass in Austin! woot woot!!! annnd love the bob with purple, i went the royal color way as well ",,,,,,
4,68,"@QuotableBuffy I got a bunch of Buffy songs too! One of my faves is &quot;Vivian&quot; by Nerf Herder, when Faith met Spike in Buffy's body. ",,,,,,
4,69,#Devunity Wallpaper  Check this out !   --&gt,    http://twitpic.com/2y2e2,,,,,
4,70,"Morning Tweetland, a long day ahead! Hope everyone has a great day  ",,,,,,
4,71,@ash_CT Aw dont you love that  I love for those days! Thanks about the pic ,-p,,,,,
4,72,noodlebox with amanda tonight ,,,,,,
4,73,"@una_avion2010 Sorrry, I'm doing like 29823782 different things. Kevin Jonas' Girlfriend ",,,,,,
4,74,@fuzeb they are so serious too while singing like.. whoa  hehe lsd maybe? j/k lolol,,,,,,
4,75,loving life... and loving you ,,,,,,
4,76,@ApothecaryJeri  I love Sicilians best damn pizza on the planet [says I] ,,,,,,
4,77,loves chocolate milk  and that is GF YEAH..,,,,,,
0,78,"Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?",,,,,,
4,79,Going to Sutter Creek tomorrow to tour an old Mine ,,,,,,
0,80,@katortiz  Not forever... See you soon!,,,,,,
4,81,"@bodycoach I'll look into that cho, I personally like strawberry but I'm going to become coach soon ",,,,,,
4,82,"@little__fish guess where i live. the other side of the earth  east mesa, losiento",,,,,,
0,83,"@Lt_Algonquin agreed, I saw the failwhale allllll day today. ",,,,,,
4,84,@paula_paige3489 so apart from the sore... how was the tryouts? ,,,,,,
4,85,failed physics TEST... what a homo. keeen for the holidays (2 days to go) ,,,,,,
4,86,"Just observed the update look of #Alexa website, http://tinyurl.com/c48gzf , looks great, seems Alexa is improving ",,,,,,
4,87,@leiabox so what can you tell us about it? I'm totally geeking out right now ,,,,,,
4,88,"@theragingocean BonJour Spacecowboy,I wish I was either of it .I work with Kids, can go out whenever I want and go wherever I want to ",,,,,,
4,89,@Rebecca1158 goodnight. ,,,,,,
4,90,My brother is sick too lol. Quite weird ,,,,,,
4,91,@drdrew *gives a hug and a cookie* Hope you feel better! ,,,,,,
4,92,@jonathanRKnight Hey Jon! It's real and I hope you take care of yourself...we don't want you to get too rundown.  ((Hugs)),,,,,,
0,93,@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!,,,,,,
4,94,"Just wrote on a toilet wall... but only to correct poor spelling. And in highlighter, so it will wash off. HARDCORE ",,,,,,
4,95,had a good tech meeting at clubZone - dinner was sushi ,,,,,,
4,96,@mattgalloway Thanks for the hook up with @CarlyRush and suggesting me again bro! you rock! ,,,,,,
4,97,@jeffswarens depends on which version they thought you  the one I know doesn't go like that ,),,,,,
4,98,@Speak2Ashley hand is still pretty weak i cant like punch anyone out yet or turn knobs but it doesnt hurt much ,,,,,,
4,99,@Honey3223 Lurkers now that was interesting ,,,,,,
4,100,@saravananp mine is B North. Still need to decide 'aaru hithavaru ninage ee moovaroLage' to vote ,,,,,,
4,101,eating ice-cream with chocolate topping ,,,,,,
4,102,@iamdiddy your telling me.. just finished doing 200 crunches!  step it up Diddy ! LETS GO!,,,,,,
4,103,@its_yvonne daaang i didn't know it was possible to talk that long! what'd you guys talk about ,,,,,,
0,104,@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!,,,,,,
4,105,@LaurUy West.  Mostly San Jose and San Francisco.,,,,,,
4,106,"Nikki is off working her ass off on a bike, trying to recover from her knee injury.  (Good for her. ",,,,,,
4,107,@marymayblood I would love to come help unpack   Let me know where I need to be Sat afternoon!,,,,,,
4,108,shenagians!  my team is awesome&lt,3,,,,,
4,109,listening to some music and just chilling....I'll probably regret not getting work done...but till then i'm just gonna kick back ,,,,,,
4,110,I am doing a study of Think &amp, Grow Rich - Wow - it's amazing how timeless the law of attraction is! So now we're on our 6 step program! ,,,,,
0,111,i really hate how people diss my bands!  Trace is clearly NOT ugly!,,,,,,
0,112,"Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls.",,,,,,
4,113,@BittenbyBooks Oh good!  I'm glad you're feeling better!   I've been really good!  It'll be a crazy week though... In a good way! ,,,,,,
0,114,Why won't you show my location?!   http://twitpic.com/2y2es,,,,,,
4,115,21 Days till chris comes home and 67 days till summer ,,,,,,
0,116,No picnic  my phone smells like citrus.,,,,,,
0,117,"@ashleyac My donkey is sensitive about such comments. Nevertheless, he'd (and me'd) be glad to see your mug asap. Charger is still awol. ",,,,,,
0,118,No new csi tonight.  FML,,,,,,
0,119,i think my arms are sore from tennis ,,,,,,
0,120,wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . ,,,,,,
0,121,sleep soon... i just hate saying bye and see you tomorrow for the night. ,,,,,,
0,122,"@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine ",,,,,,
0,123,missin' the boo ,,,,,,
0,124,@markhardy1974 Me too  #itm,,,,,,
0,125,Damn... I don't have any chalk! MY CHALKBOARD IS USELESS ,,,,,,
0,126,"had a blast at the Getty Villa, but hates that she's had a sore throat all day. It's just getting worse too ",,,,,,
0,127,@msdrama hey missed ya at the meeting  sup mama,,,,,,
0,128,"My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!",,,,,,
0,129,why is it always the fat ones?! ,,,,,,
0,130,"@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*",,,,,,
0,131,@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad ,,,,,,
0,132,wednesday my b-day! don't know what 2 do!! ,,,,,,
0,133,Poor cameron (the hills) ,,,,,,
0,134,"pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache ",,,,,,
0,135,"@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike",,,,,,
0,136,Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435,,,,,,
0,137,"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL.....",,,,,,
0,138,"hey, I actually won one of my bracket pools! Too bad it wasn't the one for money ",,,,,,
0,139,"@stark YOU don't follow me, either  and i work for you!",,,,,,
0,140,A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.,,,,,,
0,141, Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji,,,,,,
0,142,"@mangaaa I hope they will increase the capacity fast, yesterday was such a pain. Got the fail whale +15 times in 2 hours.... ",,,,,,
0,143,Behind on my classes for work ,,,,,,
0,144,watching &quot,House&quot, ,,,,
0,145,@kpreyes Remember my bum leg? Strikes back this time its serious ,,,,,,
0,146,"@paradisej cool, i will. their are all kinds of complaints about this laptop online about overheating, but no recalls ",,,,,,
0,147,Emily will be glad when Mommy is done training at her new job. She misses her.  http://apps.facebook.com/dogbook/profile/view/6176014,,,,,,
0,148,would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?,,,,,,
0,149,@Henkuyinepu it's overrated ,,,,,,
0,150,@marykatherine_q i know! I heard it this afternoon and wondered the same thing. Moscow is so behind the times ,,,,,,
0,151,laying in bed with no voice.. ,,,,,,
0,152,I'm sooo sad!!! they killed off Kutner on House  whyyyyyyyy,,,,,,
0,153,@jacobsummers Sorry  tell them mea culpa from me and that I really am sorry.,,,,,,
0,154,"@Alliana07 it didn't make any sense to me, the suicide thing. I refuse to believe that that is actually what happened. ",,,,,,
0,155,@salancaster  hope your ok.,,,,,,
0,156,@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love,,,,,,
0,157,@HibaNick yeah aw but i know i wudnt stand a chance ,,,,,,
0,158,ugh. cant sleep. its 1:30am. ,,,,,,
0,159,Hanging in Crooners. Wanna sing. Can't. Sucks. ,,,,,,
0,160,@eRRe_sC aaw i miss ya all too.. im leaving to BH tomorrow &quot,morning&quot, i think.. aww i wanna go to the beach w u girls!! ,,,,
0,161,Is pissed off that there's no ASBA's for a radio station. ,,,,,,
0,162,wednesday my b-day n don't know what 2 do!  ,,,,,,
0,163,I know my life has been flipped upside down when I just thought in my head that some Ramen sounds good. ,,,,,,
0,164,I am in pain. My back and sides hurt. Not to mention crying is made of fail. ,,,,,,
0,165,"Late night snack, glass of OJ b/c I'm &quot;down with the sickness&quot;, then back to sleep...ugh I hate getting sick... ",,,,,,
0,166,@allyheman but.. but.. but.. I'm not a big fan on camilla belle ,,,,,,
4,167,"@davidgideon Yeah, those were the days  - no, it's now around 1.47ish...",,,,,,
4,168,@therealjspace am I the first one to tell you you tweet the most while drinking! LOL. ,,,,,,
4,169,@its_anne Kay thanks. ,,,,,,
4,170,Goodnight ,,,,,,
4,171,I am determined to get back into baseball -- it's been 5 years since I've really watched the sport. Anyone interested in going to a game? ,,,,,,
4,172,"@beycah Good for you Becca, have a good sleep. ",,,,,,
0,173,"@grum WAH I can't see clip, must be el-stupido work filters. Can't wait 'till I get a 'puter. Something else 2 blame ex 4. He broke mine ",,,,,,
0,174,This week just seems to get longer and longer in terms of how much I need to do.. and how much I'm actually going to get done ,,,,,,
4,175,@MissNappyBoy and ur home is where? ohhh i nkow lexington ky rite next to me ,,,,,,
4,176,Just seen the preview for the movie &quot,Obsessed&quot, w/ Beyonce. Wow one crazy broad in that movie &amp, Beyonce seems to go nuts in it too! ,,,
4,177,Easy Rider till I fall asleep ,,,,,,
4,178,"@miketomalaris I'm very, very, very excited about the live broadcast of Paris-Roubaix. ",,,,,,
4,179,"just had a real good moment. i missssssssss him so much, ",,,,,,
4,180,@belliestobabies I have two too. I just don't know how people survive winter without jungle gyms at home ,,,,,,
4,181,@jaredleto Just started to work. But it's the last one before holidayholiday!! ,,,,,,
4,182,Watchin Greek then off to Knighty Knight!! ,,,,,,
4,183,i am working on my media room design and i love love love my client profile ,,,,,,
4,184,@Greeks05 its pretty lame..hahaha but yay i get to stalk your sexy ass on here now ,,,,,,
4,185,"@Lou911 Aww, thanks ",,,,,,
4,186,Another good day  nitey nite everyone! First day of school tomorrow!!! Ahh I'm kinda nervous yet excited...til tomorrow!,,,,,,
4,187,thinking and planning ,,,,,,
4,188,"Good enough.. time to go sleep off whatever I can, be happier tomorrow ? here's Hopin.. go check my Fb. for what is in store for me now. ",,,,,,
4,189,"@missvic what do you mean, I do those things now and I'm OLD! ",,,,,,
4,190,@jimmyeatworld been listening to that all morning  http://www.deezer.com/track/885843,,,,,,
4,191,@UrbanThai  and you have me to thank for that ,,,,,,
0,192,I'm so cold ,,,,,,
4,193,"@PamFR Thanks Pam... glad you enjoyed it. Yes, life is short, it's *now*. No need to struggle... just make better choices every day. ",,,,,,
0,194,@thecoolestout Ehhh don't. Weather's gonna take a turn for the ugly tomorrow ,,,,,,
0,195,@chelserlynn haha its so cooooold in the d! and no  but you should still go to the show. they do some incredible stuff,,,,,,
4,196,"@JonathanRKnight hmm you have a lot to say tonight! That's great!  Of course, here I am up late reading it. haha",,,,,,
4,197,"@guykawasaki congrats on 100,000 followers. Wow almost 4 times of what I have ",,,,,,
4,198,@LarryCarroll ARE WE GOING TO BE GETTING ANY NM UPDATES THIS TIME AROUND? I'm not really screaming. Just wondering. Thanks! ,,,,,,
4,199,@suitelifeofkell that's freakin' cooool   i love twitter .haha,,,,,,
4,200,@I3renda maybe. there's nothing wrong with being caring. but try not to care too much. ,,,,,,
0,201,Hoping the tummy rumbles go away soon ,,,,,,
4,202,why does Brissa not even know she has a twitter? -Lauren ,,,,,,
4,203,@jbrotherlove I thought it was a great love story ,,,,,,
0,204,"@Knights_ No, no notice. They told me I'd be working tomorrow, and then I called the agency to follow up and they said it was over. ",,,,,,
4,205,"@enbaldarlingg No, that's just the mirror you're looking in. ",,,,,,
4,206,@amandahesser thanks!  i couldn't have done it without you  ,,,,,,
4,207,"wow that was neat, thanks God! OVERITNOW&lt;3  i apologize for sharing my spiritual moment with the general public of Twitter ",,,,,,
4,208,... 31 days until I leave for Ontario!! ,,,,,,
4,209,Just spoke with my fam in #Japan via #Skype! Love to see my little 16-mo-old nephew growing! ,,,,,,
0,210,almost bedtime ,,,,,,
4,211,@LissyM ahh i only just saw you'd written that where does it tell you that someones spoken to you? this sucks but mcfly got it haha loser ,,,,,,
0,212,I'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstart,,,,,,
4,213,@KaciMaureen holy laundry woman! ,,,,,,
4,214,"@iamdiddy I hate it too, but I just got back from the trainer. Go! ",,,,,,
0,215,Agh...snow!!! ,,,,,,
0,216,i miss kenny powers ,,,,,,
4,217,@markhoppus lol you�re so fucking funny ,,,,,,
0,218,"@BridgetsBeaches Thank you for letting people know, but now I'm sad that the direct message I got wasn't actually from Bridget ",,,,,,
4,219,"working on setting up my ipod touch, which as of today is officially mine!! ",,,,,,
4,220,@nikhilnarayanan saw the tvc yesterday.. worked for me ,,,,,,
4,221,"@magopus Hahaha! Well if they ever run out of ideas, I'm nominating you to come up with some good ones. ",,,,,,
4,222,A friend feels like a beer on a Monday night. That's never good. But beer is always good. Always. ,,,,,,
0,223,"...and, India missed out its 100th Test victory n 10th consecutive win without a loss. ",,,,,,
0,224,@JonathanRKnight I guess that's a no then. ,,,,,,
4,225,"@hopeinhell One usually follows the other, no? ",,,,,,
4,226,"@special72 Thanks, Special 72!  ",,,,,,
4,227,"Good luck for Lauren and the rest of the cast of TBS, can't wait for something to leak ",,,,,,
4,228,"@JohnHays hmm, that I don't agree with entirely because I am most creative &amp; vibrant @ night for some reason...but I need 2 sleep too ",,,,,,
4,229,@izzakizza nada just tryna holla holla.   hows the mixtape coming up?,,,,,,
4,230,@aussie_ali  yep it makes it so much easier to get points across in 140 ,,,,,,
4,231,"@snarkattack  The freezer-worthy @amoir has already given it her scholarly attention, but I suppose another set of eyes could hurt not.",,,,,,
0,232,sadly is going to bed. ,,,,,,
4,233,http://twitpic.com/2y2jf - my cupcakes ,,,,,,
0,234,@ozesteph1992 Shame to hear this Stephan ,,,,,,
4,235,"@purrplexa And its a wonderful thing!  I'm all in favor of using the entire English language (shit, I use #expletives too, I think) ",,,,,,
4,236,@mynameisgerard haha! i'm not saying u should try it.. but maybe u should ,,,,,,
4,237,"back from school, long walk! its flippin cold outside  2 days ago it was sunny, next day raining, and today snowing!",,,,,,
4,238,@sisterpatterson I just ate raw cookie dough out of a tub and now to bed. We must be kindred spirits ,,,,,,
4,239,"@JonathanRKnight : agreed. internet? random. but i like random. watched dirty dancing, great movie, i thought of your song..  nighty night",,,,,,
4,240,@blooms5887 Just use Tweetdeck and you can update facebook and twitter at the same time ,,,,,,
0,241,@mrsaintnick hey! i'm leavin in the morning... ,,,,,,
4,242,"@firestoned - Dude, stars are always awesome.    Surprised to see you tweeting.",,,,,,
4,243,@nsastrasasmita k. i'll try to figure it out. i'm gonna go to bed. night night  ,,,,,,
4,244,amazing night with llama and malcolm and megan&lt,---fuck the theatre! ,,,,,
0,245,"Was intending to finish editing my 536-page novel manuscript tonight, but that will probably not happen. And only 12 pages are left ",,,,,,
4,246,@kayotae Just had a martini myself. ,,,,,,
4,247,city all day soo happy to be home. school in the morning ,,,,,,
0,248,laid around too much today... now my head hurts ,,,,,,
0,249,@twista202 I still haven't read the 9th&amp,10th Princess diaries  Saving Francesca made me cry at the end. Hmm those are easy books.,,,,,
4,250,My spring break= watching moviess all day everyday for a week ,,,,,,
4,251,@PushPlayNICK &quot,Grandpa wants an ice chest and some beef.&quot,  George Lopez rulesss!,,,,
0,252,my nokia 1110 died..  ,,,,,,
0,253,My mom might have breast cancer won't find out anything for. Like a week I'm so worried! ,,,,,,
4,254,@KatiePorrello thank you Katie! heading to the club as we speak! you have yourself a stellar night as well... take it easy homey!! ,,,,,,
4,255,"http://www.youtube.com/watch?v=cLe9pJSRas0 Where have all the flowers gone, Peter Paul &amp; Mary  My fav, def.",,,,,,
4,256,shhhhhhhhhh....time to watch the Hills. ,,,,,,
4,257,"since posting the 2 new photos on my website with the kids my hit count went up...way, way, way up. love to china for 5,000 views alone. ",,,,,,
4,258,@JonathanRKnight Oh its real Jon!  We all r so excited that u and the guys came back 4 us.  We appreciate all you put out there!  ,,,,,,
4,259,@LonelyBob Thank you! Am at home pretty much everywhere. Provided I have broadband ...kiddin' ,,,,,,
4,260,Callin it a night! I always have the best sleep after a good workout!! ,,,,,,
4,261,@Infinitarchitek Feels pretty good doesn't it? ,,,,,,
0,262,Going to sleep. Hoping tomorrow is a better day. ,,,,,,
4,263,@stee322 but you did go to hash bash anyway.. ,,,,,,
0,264,@rumblepurr lol.. wish they understood daylight savings has ended though and breakfast is an hour later  They keep waking the kids up too,,,,,,
4,265,"@loltothepower correction, i GOT a badass fringe. ",,,,,,
0,266,@onemoreproject that is lame ,,,,,,
4,267,"@procoder hmmm, sure sure  so what r u upto ? hows the day for u?",,,,,,
4,268,@ninasplayground I agree.  My kids got &quot,Who am I&quot, 4 Christmas. It's bn fun but I caught my 4 yrold cheating by looking at reflection in TV,,,,
4,269,My hair is blue. ,,,,,,
4,270,@wendy_bowser Thank you for the kind words!  I appreciate it.  Have a great night ,,,,,,
4,271,stressing over this math test...uhhh....2 days till spring break!!!! ,,,,,,
4,272,"@MintCool uh, because we really need each other, plus, you'd be my designated driver on PCH ",,,,,,
4,273,@EMPRESSYEN WHATCHA CHUCKLIN BOUT MS.YEN ,,,,,,
4,274,@ijustine the gym is an awesome place! work it out ,,,,,,
4,275,@augustography hmmm think we need to get you climbing up hills .. you'll be really sining then ,,,,,,
0,276,I don't understand... I really don't ,,,,,,
4,277,Just won 20$ on unc game ,,,,,,
4,278,Really tired. Going to prepare for bed. G'night! ,,,,,,
0,279,HEROES just isn't doing it for me this season... ,,,,,,
4,280,@keyannaaa the new story of your life will include magic fountain with me ,,,,,,
4,281,"Im getting nervous that this trip tomorrow may be a little boring. Haha oh well, i always have my trusty ipod and my books of course  lol",,,,,,
4,282,should be going to bed... maybe i'll do that... but i'm thinking I'll put on Anastasia on my laptop as i fall asleep ,,,,,,
4,283,@ijustine http://twitpic.com/1ff65 - I love ur top ,,,,,,
4,284,"still buzzing from SIETAR... thanks to @pattidigh for pushing the old boundaries - boy, someone could make money off a twitter manual... ",,,,,,
4,285,"@yoshigi I have terrible back and neck aches too... Get a good chair, that will help.  I am waiting for my &quot;SWOPPER&quot; to arrive. ",,,,,,
4,286,"@juneaurock Hellz yeah, definitely downloading. Thanks ",,,,,,
4,287,http://twitpic.com/2y2jz - we are so stinkin cute ,,,,,,
0,288,Living not downtown sure isn't much fun.  ,,,,,,
4,289,@Lyndeeezy hahah not yet! but soon. very soon ,,,,,,
4,290,"Very happy with my new blog design - nice to see recent post and popular posts listed together, and it looks great! ",,,,,,
4,291,@michaelgrainger we have much more than that in common my friend!! ,,,,,,
0,292,@jonathanchard Not calorie wise   I wish junk food was calorie free! I ate a thing of sour skittles and a big ass cherry coke!,,,,,,
0,293,Man Work is Hard ,,,,,,
0,294,"getting sick  time for some hot tea, studying, and then sleeeep",,,,,,
0,295,Getting eyebrows waxed. More pain ,,,,,,
0,296,No phantasy star yesterday  going to work...,,,,,,
0,297,Oh - Just got all my MacHeist 3.0 apps - sweet. Didn't get the Espresso serial no though although they said they sent it - oh well ,,,,,,
0,298,Picked Mich St to win it all from the get go.  Was feeling pretty good about that pick all the way up until......tonight.  A's lost too ,,,,,,
0,299,is alone downstairs...working ,,,,,,
0,300,I feel bad for doing it ,,,,,,
0,301,"@RyanSeacrest is it just me, or she hates anoop. i mean seriously, she's kinda mean to him. ",,,,,,
0,302,@pinkserendipity yes sprint has 4g only in baltimore and chicago so far ,,,,,,
0,303,I'm stuck awake in the middle of the night for the second day in a row. And I felt terrible yesterday. ,,,,,,
0,304,Thanks for bursting my bubble ,,,,,,
0,305,Going to school soon... can't find anything to wear!! gosh it's so hard ,,,,,,
0,306,@marieclr I was serious  LOL,,,,,,
0,307,@naughtyhaughty I had on my page for sooooo long!!! Until it got deleted  Sad day in history,,,,,,
0,308,Crazy wind today = no birding  http://ff.im/1XTTi,,,,,,
0,309,currently at work.. ,,,,,,
0,310,Grrr.. my ipods acting weird too! Jai ho and thinking of you aren't playing the full songs.. ughh. ,,,,,,
0,311,@penndbad send me the DVD cos I have missed out on heaps  NOT happy about that!,,,,,,
0,312,i don't see the big deal with this website ,,,,,,
0,313,@machineplay I'm so sorry you're having to go through this. Again.  #therapyfail,,,,,,
0,314,@ColinDeMar Far too out of the way for rail.  any other tips?,,,,,,
0,315,I'm not still up I swear. Why do I keep losing. gaining. losing. gaining. tweeps?  So heart wrenching.,,,,,,
0,316,"Today I realized I am too good at hiding things, even I can't find it ",,,,,,
0,317,"Staying at a friends house...house sitting, neighbors are SO loud-having a party ",,,,,,
0,318,@dannyvegasbaby danny im upset that i wasnt here to watch the live chat  i was in a car. for 3 hours on a trip im soooo upset!!,,,,,,
0,319,Check out my mug  http://www.erika-obscura.blogspot.com,,,,,,
0,320,Borders closed at 10 ,,,,,,
0,321,Downloading NIN's new album &quot,the slip&quot, - when the hell did this come out? I'm so behind the times these days ,,,,
0,322,Just woke up an already have written some e-mail... I've to go early at University today as I have to teach at 8:30 AM! ,,,,,,
0,323,is watching the hill . . .and its making me sad ,,,,,,
0,324,So many channels.... yet so so boring... lazy day again  may have to find a hobby,,,,,,
0,325,@supersport I miss my buddy  ill be in NY on the 25th,,,,,,
0,326,@robluketic  love the french. I tell people here in the south i'm qtr. french and they snarl at me.  french are beautiful people,,,,,,
0,327,Opps.. As I said.. I still got one day remain and now problem come ,,,,,,
0,328,"I activated my Selfcontrol block early, meaning I can't check out the new QC.  Regularizing my internal clock is might be difficult. #fb",,,,,,
0,329,@HillyDoP  oH NO,,,,,,
0,330,spencer is not a good guy. ,,,,,,
