SentimentValue,SerialNumber,Tweet,,,,
0,27,@USairways E190 lands without nose gear in Houston - @Flightglobal http://t.co/Yf9NhMwyFF,,,,
2,28,"@JetBlue Awww man...but I need to buy this ticket today and be home the 1st of March

Where do I go for this...or can you assist me ?",,,,
0,29,@AmericanAir why would I even consider continuing your point program when I received no perks or continued bad customer service? #senseless,,,,
0,30,"@JetBlue if someone had bothered to inform us that the airport closed, that would have helped.",,,,
2,31,@united what gate is ua5396 leaving from?,,,,
2,32,@JetBlue woof.,,,,
4,33,@SouthwestAir @JohnWayneAir Thank you both very much!!,,,,
4,34,@JetBlue Haha you're doing everything right! Don't change a thing! Slash this Twitter engagement just makes you even cooler! #bestairline,,,,
2,35,“@JetBlue: Our fleet's on fleek. http://t.co/jm4GeyXbY5”LOL,,,,
2,36,They didnt just tweet this... Nah. RT “@JetBlue: Our fleet's on fleek. http://t.co/1yLn1Gx4QX”,,,,
0,37,"@JetBlue Flight 1562 had a 4 1/2 hour weather delay, but what is the 45 minute delay in getting bags to tired passengers?",,,,
0,38,@JetBlue woulda been nice of you to let us know that or post it!!! Your boards still show the flight on time!!!,,,,
2,39,@AmericanAir Thank you,,,,
2,40,@SouthwestAir I enjoyed a call from my good friend he's Flight Booking Problems his flights elsewhere as I tweet one at a time I will tell as many as I can,,,,
2,41,"@JetBlue Tell me more 😳...

Because I need a 1 way to NYC, and I might choose you",,,,
0,42,@USAirways I've been on hold at the reservations desk for 3 hours. HELP!!!!,,,,
2,43,@JetBlue Are all of your flights out of Charleston tomorrow on-time or is there a possibility for delays/Cancelled Flightlations?,,,,
2,44,@united BUT you have received confirmation via email that you are confirmed and ticketed on this flight.,,,,
4,45,"@united on a good note, the 2 employees I encountered @ Newark were fabulous. I was very Late Flight for my connecting flight and they got me on!!!",,,,
0,46,@united Delayed more and more these days. MCO &gt, IAD. Fingers crossed I make my connection home to Albany. #united1K,,,
4,47,@SouthwestAir and thanks!,,,,
2,48,@AmericanAir Do we get a class discount on your wifi? I will be flying your airlines at approx. 4 Am?,,,,
4,49,@united holy high speed internet batman!  Speeds at United Club at IAD are insanely fast!  Thanks,,,,
2,50,"@AmericanAir its only 1500 characters, i will respond via formal letter. Trust me, I have plenty to say.",,,,
0,51,@SouthwestAir we didn't nothing was ruined just wet. Just frustrating when after traveling for 12 hours you can't change into clean clothes,,,,
2,52,@AmericanAir  that's what I am hoping for,,,,
0,53,@JetBlue still sitting in plane in Newburg. This is getting #ridiculous. No way to treat #loyal customers.,,,,
0,54,@SouthwestAir grouchy about this flight 636 #complimentarybeveragesneeded,,,,
4,55,"@SouthwestAir its all good. flight eventually took off, and landed safely. oh, and I got the free cup o wine. thx",,,,
4,56,@USAirways Shout out to the red-headed gate agent for flt 3389 from DCA to CHS at 7:10 tonight. Didn't get her name but she was great!,,,,
0,57,@USAirways how is it possible that you don't have a call back service? An automated message telling us to call back Late Flightr is so unhelpful.,,,,
2,58,"@SouthwestAir hi guys, do you have a general enquires email address please? Thanks David.",,,,
4,59,@Jetblue first airline to use #applepay in flight #airlines,,,,
0,60,"@JetBlue According to your ground staff, it hasn't even been taken off the plane yet!",,,,
2,61,@AmericanAir well you spelled my name wrong.,,,,
0,62,@USAirways @Expedia 7 Hours for my friend to rebook his trip to Korea after @USAirways Cancelled Flightled a connecting flight to Chicago = IDIOTIC.,,,,
0,63,@USAirways quit being cheap and hire some call center employees. It shouldn't take half a day to call you,,,,
4,64,"@SouthwestAir neveind, it's been found and on its way. Thanks for making the process so painless",,,,
2,65,@AmericanAir I had booked online but unable to Cancelled Flight online. But finally got thru.,,,,
0,66,@USAirways F623 DEN:PHX impressive lack of concern by 1hr+ Late Flight flight attndt wrecking havoc on customer travel #smugsmirk #norush,,,,
0,67,"@JetBlue there was a closure? People here need to inform passengers, not send them gate to gate w no info on boards re: updated departures",,,,
2,68,@AmericanAir need help on a reservation. Can you follow so that I can DM details? Thanks!,,,,
2,69,@JetBlue if i ask ask the pilot will he tell me the name of our aiecraft,,,,
2,70,@USAirways can you priv chat to help chairman reroute,,,,
2,71,No they didn't -.- “@JetBlue: Our fleet's on fleek. http://t.co/58B7swRpmq”,,,,
2,72,@SouthwestAir can you tell me if flight 805 from MDW-FLL tomorrow (2/24) is at full capacity?  i'm hoping for a little bit of extra room! 😊,,,,
2,73,"@AmericanAir Hi, did the discount award policy for credit card holders change? No longer seeing the chart of specials on the site. Thanks!",,,,
2,74,"@USAirways is there an additional charge for a golf bag with clubs , shoes, and golf balls, if that's the only piece of luggage you check?",,,,
0,75,@USAirways Hmmm. Did the flight even really exist or did they just create it last night to get people off their backs? #usairsucks,,,,
4,76,"@USAirways @AmericanAir @SVLLINDIA provides you the best logistics experience for people all over India.
#Mumbai #Surat #NaviMumbai",,,,
4,77,"@SouthwestAir I love and appreciate the fact that you guys rarely Cancelled Flight flights and are on time, but I need a Cancelled Flightlation this time. 🙏",,,,
2,78,@AmericanAir are pets allowed in first class?,,,,
2,79,@AmericanAir do you guys have wifi on international flights?,,,,
2,80,@AmericanAir @jokerunning this happened to me too!!!,,,,
4,81,First base already? I like your style @JetBlue,,,,
2,82,"@JetBlue @courteroy LOLZ. ""On Fleek""",,,,
2,83,@AmericanAir New marketing song? https://t.co/F2LFULCbQ7 let us know what you think? http://t.co/NBZkhiZF3V,,,,
2,84,@VirginAmerica why is flight 345 redirected?,,,,
2,85,@SouthwestAir no fare giving out clues.  In route now.,,,,
4,86,"@JetBlue planning on it!  Btw, excellent service and crew from DCA through SJU into SXM!!!!!",,,,
4,87,@JetBlue well lucky I only fly JB..I guess I would be even more squished on any other airline 😞,,,,
0,88,"@united your website is fucked up. Now instead of a $416 flight I should’ve had yesterday, it’s $514 today. Thanks.",,,,
2,89,"@JetBlue Hey friends! Stupid question - Can I split payment methods for a flight purchase? Example: 1/2 debit card, 1/2 BillMeLate Flightr? Thanks!",,,,
0,90,@SouthwestAir still waiting. Just hit one hour.,,,,
4,91,@SouthwestAir no worries. You're doing the best u can. Already Cancelled Flighted my biz trip. Still $LUV you! -RR 1079871763,,,,
4,92,@SouthwestAir Thank you!  #thankful #feelingtheluv,,,,
0,93,@SouthwestAir #tfw1 @JimCramer @AARP TY-Spent total of 3 hrs and 20 mins holding. Cell battery died. Finally made arrangements w kind Rep,,,,
2,94,“@JetBlue: Our fleet's on fleek. http://t.co/ar0VayLmFc” Really Jet Blue? Lmao,,,,
4,95,"@SouthwestAir haha, thanks for the explanation",,,,
2,96,@USAirways I am good. I just did not understand the terminology.  but the merger brings new verbiage,,,,
2,97,“@JetBlue: Our fleet's on fleek. http://t.co/XASPqDsqhE”,,,,
2,98,@AmericanAir done.,,,,
0,99,@united two service agents hung up on me the third was able to get me a flight on US air today. Three calls and 2.5 hours to get a flight,,,,
0,100,@USAirways using all of my monthly minute on hold with you assholes,,,,
2,101,"@JetBlue Im just saying change can be amazing, like Miami. 😉",,,,
0,102,"@jetblue, it would be nice if the app would actually inform you that a flight is delayed.",,,,
4,103,"@JetBlue why yes, yes it does!!!!  Great trip down!! Thanks for the lift!!!!",,,,
4,104,@JetBlue love traveling with Jetblue. Cant wait to go to Paris oui oui!!! NYC was awesomeee!,,,,
2,105,*On the brink of bankruptcy. “@JetBlue: Our fleet's on fleek. http://t.co/01ldxn3QqQ”,,,,
4,106,@VirginAmerica thanks for the free birthday points! y'all are ALL RIGHT with me!,,,,
4,107,@USAirways thanks for your help! I left a message for DCA lost and found. Fingers crossed we find it!,,,,
4,108,@JetBlue Still love you guys. But get me to Vegas already! ☀️🌴✈️🍸🎲,,,,
4,109,"@united done just now, thanks.",,,,
2,110,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,,,,
2,111,“@JetBlue: Our fleet's on fleek. http://t.co/dxn58rxDkS”@jameskraw see.,,,,
0,112,"@united the hotel you sent us to wouldnt take the voucher. Our flight was delayed, then Cancelled Flightled, then delayed again. 32 hours and counting",,,,
2,113,@AmericanAir can I redeem AAdavantage miles on LAN flights?,,,,
0,114,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",,,,
4,115,@SouthwestAir thanks for the drink tickets hook up! Can't wait for my first international flight with you to NAS! #pumped,,,,
2,116,RT “@JetBlue: Our fleet's on fleek. http://t.co/FRAqDPKyga” @hellobrittNEY_,,,,
0,117,@SouthwestAir waiting over a half hour for my checked baggage to be delivered! No updates from any ground crew,,,,
4,118,@SouthwestAir A wonderfully nice agent in Austin helped us out. Wish I remembered her name to give proper kudos.,,,,
4,119,@JetBlue Finally taking off! LAS-FLL-SJU #letsgo,,,,
0,120,@united so what's the solution?,,,,
2,121,@JetBlue @weepysweetmonty i heard youre planning on letting people fly in the overhead compartments. why would you do that?,,,,
0,122,"@JetBlue flying out of BUF 2 BOS, missing captain... Really? Delayed til 2:00... Not happy...",,,,
2,123,"@united question:are there onboad 110 volt outlets in all planes? If so, where?",,,,
0,124,@JetBlue thanks. Home to MSY. TSA precheck agents directing people after photo until scan beyond rude. One grabbed and pushed children.,,,,
0,125,@USAirways pretty upset I drove from Philly to MHtT still no info on my bags. What's the deal!,,,,
4,126,@USAirways Thank you. And thanks for being so accommodating.,,,,
4,127,@USAirways  that would be lovely! You have great people working in your organization.,,,,
4,128,@JetBlue thanks for the upgrade😉!! so far so good. #KeepItUp http://t.co/BKmfeY7QOL,,,,
2,129,"@SouthwestAir easy fix, let the business select actually board 1st, then board the pre-boards...",,,,
2,130,“@JetBlue: Our fleet's on fleek. http://t.co/mFSsh2UHUe” LMFAO!!!!!!!!!!,,,,
2,131,@USAirways direct flights to SFO leaving from same airport with @VirginAmerica and @united - can you please put me on one of those?,,,,
4,132,.@SouthwestAir you've got a mess here at DTW but your staff is doing great.,,,,
2,133,.@JetBlue Delete this tweet.,,,,
0,134,@JetBlue At what time?  All these passengers were sitting on a hot plane with no air and no communication for over 2 hours. Just wrong,,,,
0,135,@united they wouldn't let me on. Real nice of you! Just love your awesome service. And U have 2 people working this customer service line..,,,,
0,136,@JetBlue Flight 1533 JFK to Cartagena all at this airport bar singing the opposite of your praises! We're making a pact to never fly u again,,,,
2,137,@AmericanAir so whats the hold up on flight 4302?,,,,
2,138,"“@JetBlue: Our fleet's on fleek. http://t.co/pa7dCjXlzL”

C'mon fam😭😭 just. No. Ok?",,,,
0,139,@USAirways @ClaudOakeshott how about a link that works pls Nothing but complete frustration w usair last 12 hrs,,,,
4,140,"@VirginAmerica another perfect flight.   How come on your planes,  the sun visors can stay down?  Other carriers make you raise them?",,,,
2,141,@JetBlue SHUT THE DOOR ON YOUR WAY OUT. 🙅,,,,
0,142,"@USAirways 100 feet from the gate at PHL, but no ground crew. You can't make this up.",,,,
4,143,@VirginAmerica just got on the 1pm in Newark home to LA. Your folks at EWR are incredible #letsgohome,,,,
0,144,"@USAirways overloads small plane with extra baggage and then. Has to take them off... Poor execution #4435, 75 minute delay...",,,,
2,145,"@USAirways great operation you guys are running. More mechanical issues, and now taping piece of plane together LOL http://t.co/I5V9wfbtuE",,,,
2,146,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,,,,
0,147,@united leadership counts. landed at 11:15 last night-deplaned at 12:40. 45 minutes of that was waiting for the jetway. Inexcusable,,,,
4,148,@VirginAmerica That's classy.,,,,
4,149,"@united cool, thanks.",,,,
4,150,@JetBlue I would love for you to fly my best friend home to PVD for a weekend. 😊 http://t.co/cH0NmjyMgh,,,,
2,151,@USAirways but i bougth mc caren to jfk with same agency and delta airways . Delta refund money but usairways doesnt accept to refund,,,,
0,152,@united  what did you do with my seat. International connection. Seriously?,,,,
4,153,@SouthwestAir About time...and just in time for my next flight Thursday.,,,,
2,154,@USAirways thank you.,,,,
4,155,@JetBlue Thank you!,,,,
2,156,Who did this?!?!“@JetBlue: Our fleet's on fleek. http://t.co/kHZrCCyp2A”,,,,
2,157,"@united I need the phone number to baggage claim in LAX, my mom left her phone and someone called saying they would put it there but on",,,,
0,158,.@SouthwestAir thx for the note. Flight was Cancelled Flightled and today is all booked so had to go with another carrier. :(,,,,
2,159,@AmericanAir could you check if there is SVU space on AA199 MXP-JFK Feb 28th? Thanks,,,,
2,160,@USAirways US 728 stated their issues as: kept plane on ground to allow connecting passengers from other flight to board. Fine. Understand.,,,,
0,161,"@SouthwestAir - neveryamind I paid $450 for a flight. 250 for a new bag is easy for business class customers, right? http://t.co/vn3JJIa53O",,,,
0,162,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,,,,
4,163,@USAirways right on. Up. Up &amp, away ✈️🌞,,,
2,164,@USAirways @AmericanAir trying to chg ticket for staff member leaving org before she can fly.We're a nonprofit-can't you make an exception?,,,,
4,165,@SouthwestAir Got it covered. Thanks!,,,,
0,166,@united the emails/calls over the past months about flight changes were helpful wish you would have sent them on the Cancelled Flightlation yesterday,,,,
0,167,"@united Found flight after 2.5 hrs. How am I offered a $200 flight voucher 12 hrs before, lose my seat out of neglect, then get nothing?",,,,
0,168,@united it would make my day if I could take a flight on your airline without any hiccups on your end. Train your employees to communicate,,,,
0,169,"@AmericanAir stranded for 24 hours in MIA, Patrick casimir has been the ONLY AA staff to apologize for the great inconvenience #unreal",,,,
2,170,@SouthwestAir Any idea why TSA Pre-Check isn't showing for my next flight tomorrow? The number is in my profile...,,,,
2,171,@AmericanAir anything in particular I should ask for.   Will they want me to document my mileage plus status!,,,,
2,172,“@JetBlue: Our fleet's on fleek. http://t.co/1incNCaV4n” - wow,,,,
0,173,"@USAirways this has been my WORST flying experience with you guys, you need to do better",,,,
4,174,"@SouthwestAir Beautiful, thanks a ton!",,,,
0,175,"@USAirways @Sb5551 Um, WE knew this storm was coming, ? Is why didn't USeless Air?  Staff accordingly u idiots!",,,,
0,176,@united cannot direct message you you do not follow us. I want my luggage.  Please hep,,,,
2,177,@JetBlue I digg it!,,,,
0,178,"@SouthwestAir @AARP @JimCramer 75yo mom says, ""Hire more staff to accommodate your audience"" You could learn lots from her. She's off to FL",,,,
2,179,"See you in ATL! “@SouthwestAir: Congrats to our #DestinationDragons winners! Ready, Atlanta? http://t.co/AY1GIdcfa4 http://t.co/yC7V2s0iOd”",,,,
2,180,@jetblue who's running your tweeter using the word fleek?,,,,
4,181,@JetBlue That's great! Thank you.,,,,
4,182,@SouthwestAir thank you :-),,,,
4,183,@USAirways Will do. I appreciate the response.,,,,
2,184,@JetBlue or she ,),,,
2,185,@AmericanAir Lost black wallet at #DallasAirport.I was on flight 2208 to CLE.Would appreciate ur help. Last I used it at @Starbucks on A20.,,,,
2,186,@JetBlue? | RT @WMCActionNews5: New airline expected to make its way to MEM http://t.co/vO3eQsEPqH,,,,
2,187,"@USAirways while I’m asking… 2 of my 11 non upgraded flights, Attendants came &amp; greeted me &amp; thanked me for my business b/c I was Exec Plat.",,,,
4,188,@USAirways still not in the air for deicing of plane. I'll miss connect but customer service was helpful.I'm hoping to catch the next flight,,,,
0,189,"@JetBlue backlog is an hour at most, this is over two!  Unacceptable!!",,,,
4,190,"@united amazing flying over 25,000 miles on #UnitedAirlines &amp; alliance last year; still got jilted out of status! #moneyelsewhere",,,,
4,191,"@SouthwestAir though I work for another major airline,  I LOVE your Black history month commercial. I Thank you.",,,,
0,192,@USAirways Been on hold 2.5 hours now! System hung up on me twice after an hour holding. :(  Trying 2 correct online Flight Booking Problems error. #unhappy,,,,
0,193,"@JetBlue  I shouldn't have to find them, they should tell us. I've flown Jet Blue since your first month. The experience isn't what it was.",,,,
0,194,"@JetBlue waiting at HPN on plane more than an hour since landing b/c of no gate, please get us off this plane!",,,,
2,195,“@JetBlue: Our fleet's on fleek. http://t.co/uKM4e99Dz0” lmaoooo 😂😂😂😂,,,,
2,196,@USAirways Will you pick up your phone then?,,,,
4,197,@JetBlue its always a pleasure ☺️,,,,
0,198,"@JetBlue unfortunately I was so startled and rushed, I didn't get the name, but will provide a description in my expanded email.  Thank you",,,,
0,199,@JetBlue she waved someone behind me to step forward although I explained what happened and indicated my need to make my flight,,,,
2,200,@AmericanAir okay. I just sent it.,,,,
4,201,@USAirways thanks. 😒,,,,
2,202,@SouthwestAir continues to prove to be the best airlines 💪,,,,
2,203,😕 RT @JetBlue: Our fleet's on fleek. http://t.co/4KH92mKoTZ,,,,
4,204,@SouthwestAir finally!,,,,
4,205,@united big up the pilot of 644 for turning 1hr on the tarmac to just a 20min delayed arrival,,,,
0,206,@USAirways should look into better service✌️,,,,
4,207,@SouthwestAir de-icing is important!,,,,
2,208,@JetBlue Need to get my 3-yr-old to Nassau (from SEA) to meet her great-granny she was named after - who just turned 103. #FlyingitForward,,,,
2,209,👉🚪RT @JetBlue: Our fleet's on fleek. http://t.co/dSDEbodmEL,,,,
0,210,"@USAirways between 3 of us, it is costing over $1000 to get home TODAY for no reason... Where do I send my receipts to be reimbursed?",,,,
0,211,"@SouthwestAir - our baggage motto: we don't cover that. Small tear, ripped seam, snow soaked, busted zippers - SORRY http://t.co/LHwFBKFynI",,,,
2,212,😂😂😂 “@JetBlue: Our fleet's on fleek. http://t.co/BBaONx9txD”,,,,
0,213,@USAirways No one answers your reservation phone line. I need to book travel with a  companion certificate. How do I get through?!!!,,,,
2,214,@USAirways thanks! Any idea when it will be resolved? I'd like to purchase my ticket!,,,,
2,215,"@AmericanAir the dinner and called me ""hon"". Not the service I would expect from 1st class.  #disappointed",,,,
2,216,@SouthwestAir Looks like brooding skies out of ONT this evening. http://t.co/X9BLwgWA68,,,,
2,217,“@JetBlue: Our fleet's on fleek. http://t.co/gHJBp5Gg67” why,,,,
0,218,@USAirways i did and i'm not stupid. i've done web development for 19 yrs. the issue (now confirmed by your support) is YOUR website.,,,,
0,219,@SouthwestAir I was never able to talk so someone so had to buy another new ticket. Will be calling shortly for refund.,,,,
2,220,😩😩😩“@JetBlue: Our fleet's on fleek. http://t.co/BBHTlZgH2C”,,,,
4,221,@USAirways nice touch with using my first name.  Very intimate.  I'll be filing a claim soon to be reimbursed. Have a us airways day!,,,,
0,222,@united really enjoying my Sunday on hold...over 1 hour. Perhaps a better client experience is needed. http://t.co/8VnCKgZxl1,,,,
2,223,@USAirways what's going on with US Airways flight 805?   Why diverted to Charlotte?,,,,
2,224,"@USAirways thank you, but it says the website is down",,,,
0,225,"@united CMH gate staff a disaster..#3345 overbooked, no volunteers, no boarding, 20 min Late Flight trying to figure out issue #bringbackrealstaff",,,,
4,226,"@SouthwestAir Once again, I was able to change my flight without any fees... oh and the two free checked bags.  Best airline ever.",,,,
2,227,Bruh “@JetBlue: Our fleet's on fleek. http://t.co/W9BQiw0aou”,,,,
4,228,@JetBlue This could be the beginning of a BLUEtiful relationship :) #lifeneedsfrosting,,,,
0,229,@USAirways 4097 DCA to BNA. Just told they need to do 1.5 hrs worth of maintenance. Was supposed to leave at 8:50 am. [sigh],,,,
2,230,"OMGee!!! @JetBlue #OnFleek Why @JetBlue Why?!? 😭😁😆😵 How many people even know what that means, lol?",,,,
2,231,@AmericanAir flight 353,,,,
4,232,@USAirways  thanks I hope I get to my destination,,,,
4,233,@united JT thanks for your help I’ll complete the form once we are back home,,,,
2,234,Flight Booking Problems for a travel writers trip I am hosting and need to be happy when I land! Do you have the cute PJs AA does? @united,,,,
0,235,@JetBlue what happened to our plane meant to leave @ 830? Why do we have to wait for 1 from buffalo? Seems organizational error not weather.,,,,
2,236,@united Did you find out where it is? Thanks,,,,
0,237,@USAirways going to miss my connection because my flight home has been delayed and now no gate agent to get us off the plane-so frustrated,,,,
0,238,@USAirways you keep suggesting people call 800-428-4322 but we just end up on hold for hours. You seriously don't have a better method?!,,,,
4,239,"@USAirways thanks for the reply, hoping everything is cleared up in Charlotte by Monday",,,,
4,240,"@SouthwestAir Yeah, we figured it out.  Thanks.",,,,
4,241,@JetBlue Thank you for the service credit. And to @PamGrout for positive thoughts.,,,,
2,242,"@united @RenoAirport hi, when do direct flights from Houston to Reno begin?  Don't see any days in March?",,,,
0,243,@united DM'd you 4 hrs ago at your request. No response to be found .... just like my bag.,,,,
0,244,@USAirways flight #3739 leaving CVG. Gate agent had no computer and counted passengers on paper. I feel safe.,,,,
0,245,@united called back and I've been on hold. What is the issue?! I have a confirmation number and an email that shows how much I've paid,,,,
4,246,@USAirways thanks Travis at PHL A East checkin for knowing baggage policies. Skis &amp, boots count as 1. Teach your mgr who didn't know,,,
0,247,@USAirways what is the expected wait time to speak to someone via 800 number?,,,,
0,248,"@JetBlue is JFK still closed? Tryna get out of Ft Lauderdale on flight 502, just want to get home to nyc!",,,,
0,249,@united any chance you could help rebook?? My flight Cancelled Flightled,,,,
4,250,@united took this picture on Thursday. #awesome http://t.co/IVGpZSjtkW,,,,
4,251,@united and they were traveling as guests of a mileage plus member using that members miles. Great customer service.,,,,
4,252,"@VirginAmerica so loyal that I'm driving to #NYC from #PA, to fly Virgin,  since you cut #Philly flights ;)",,,,
2,253,@JetBlue How do I know if my flight was deemed a dark flight?,,,,
2,254,@AmericanAir is there a probability that flight 1330 from DFW to DTW will be delayed or Cancelled Flighted?,,,,
0,255,@AmericanAir thanks for getting back to me. But I will find other airlines in the future.,,,,
4,256,@VirginAmerica Dad on Segway is the best part of this whole infographic!,,,,
0,257,@united Then you delete my return ticket to Europe and blame me for the now show? This airline is a joke. 3 times this happened now.3 times!,,,,
2,258,Who Okay'd this?!?! RT @JetBlue Our fleet's on fleek. http://t.co/knUVuOVhub,,,,
4,259,@VirginAmerica @JezzieGoldz would have been a rough trip but LUCKILY we were on a #virginamerica flight. #weather,,,,
2,260,"Lol, k. “@JetBlue: Our fleet's on fleek. http://t.co/IUX94Rgc83”",,,,
2,261,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,,,,
2,262,@JetBlue what's good with a Miami terminal?,,,,
2,263,X____x RT @JetBlue: Our fleet's on fleek. http://t.co/Y39YzDpBvU,,,,
4,264,@SouthwestAir thanks I think we've got it figured out,,,,
2,265,@SouthwestAir Do you know the reason flight #336 from Dallas to Midland was diverted to Lubbock? Was suppose to be direct to Midland.,,,,
4,266,"@united be  ""Chicago's hometown airline"" care about your neighbors #SaveTheDiagonals #FlyQuiet #ORDNoise",,,,
2,267,@SouthwestAir could you please tell me if there is a way to add a RR# to a flight that already took place?,,,,
4,268,@VirginAmerica I'm sure a lot of your 747 and 777 JFK-LHR flights go a lot faster than 513mph with a strong tailwind.,,,,
0,269,@USAirways help im falling out of one of your planes,,,,
2,270,😐 “@JetBlue: Our fleet's on fleek. http://t.co/QavvlAXLkl”,,,,
4,271,@USAirways  thank you! Glad to be heading home! Great people at your call center!,,,,
0,272,"@USAirways was on hold for four hours, never got connected. Came to the airport and your rep essentially told me and everyone else to screw",,,,
4,273,"@SouthwestAir - total win!! Happy 7th bday on intercom, chocoLate Flight kisses, and a chance to hand out snacks.Thank you. http://t.co/NKloZcNtto",,,,
4,274,@USAirways customer service at its finest,,,,
2,275,@USAirways and I would have been willing to give him the benefit of the doubt and say we misunderstood each other until he went on a,,,,
2,276,@AmericanAir is that the flight for tomorrow?,,,,
2,277,"@AmericanAir @MattThomasNews When did American Airlines start flying to and from Siberia? Wait, this is the USA? Oy!",,,,
4,278,@SouthwestAir your employees were great!,,,,
4,279,@JetBlue thank you. Just sent msg.,,,,
0,280,@JetBlue I'm also a mosaic customer and fly jet blue ALOT....,,,,
2,281,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,,,,
2,282,"@JetBlue CEO battles to appease passengers, investors - Toledo Blade http://t.co/R4xJXQRX1z",,,,
0,283,@united direct messages not going through please help,,,,
4,284,"@united doing a good thing, holding flight for a few for 11 peeps on Late Flight connecting flight. We'll still make destination on time",,,,
0,285,@JetBlue really not acceptable. Just informed plane won't start. Chartering bus to take passengers to jfk.,,,,
2,286,Please explain …….. “@JetBlue: Our fleet's on fleek. http://t.co/vOsIzh17sl”,,,,
2,287,"@USAirways Hi, can you attach my AA FF# 94LXA62 to reservation E2KVM4. Thansk!",,,,
2,288,@SouthwestAir when can we expect customer service in Dallas to be available,,,,
2,289,@JetBlue try harder. Take a winners attitude to your work.,,,,
2,290,@SouthwestAir Why do you have to be 18 😭,,,,
2,291,@USAirways I sent email to customer.relations@aa.com. Will this work?,,,,
0,292,@USAirways I can't wait for the @nytimes and @WSJ to find out how poorly @USAirways handled this situation. #shameful http://t.co/HHOxQPsUbA,,,,
0,293,@USAirways Handled. I found tkt on floor dropped by someone. No way - I’m in wheelchair - to get to podium.,,,,
2,294,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,,,,
2,295,"@JetBlue When chging flight, isit possible to pay the fare difference in dollars when the ticket was bought completely via point redemption?",,,,
4,296,@JetBlue yes! Announced we will take off. You're on it! Thank you!,,,,
0,297,"@USAirways why did you Cancelled Flight flight 1773 to phl, while delta flew a flight at the same time, on time? you Cancelled Flighted for no reason",,,,
0,298,@JetBlue according to jfk plenty of planes are landing. No problem there,,,,
0,299,"@united @TiffanyAndCo @NTrustOpen ah, so that's where the funds to fix the broken plane upon which I sat for 4 hrs on IAH runway went.",,,,
0,300,@JetBlue letting me down in San Fran. No Media rate? What's the deal? Looks like this is the last time I fly anywhere with you.,,,,
